name,link
ApolloVikings,https://www.etsy.com/listing/1323908718/pizza-axe-with-box-custom-pizza-cutter?click_key=96974a15cc992922c0c8a8e06075cec0d24a74a3%3A1323908718&click_sum=b918606f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-1&pro=1
WAGbohemianChic,https://www.etsy.com/listing/1324605374/wedding-champagne-flutes-and-cake-knife?click_key=8636e220ff668a2bb2cbd56c6a933ae2c89f83fa%3A1324605374&click_sum=d4d15bd4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-2&pro=1&sts=1
WeddingArtGallery,https://www.etsy.com/listing/1192215769/wedding-champagne-glasses-and-cake?click_key=a9448e6973219ef21ac19664c7f69111dc2d0af7%3A1192215769&click_sum=6f62b0b9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-3&pro=1&sts=1
HeavSoShop20,https://www.etsy.com/listing/1282460504/cake-cutting-set-and-wedding-flutes?click_key=0ca3c90f8125ae9f2ff693fa414a0e0741e8ed8d%3A1282460504&click_sum=79ee2255&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-4&pro=1&sts=1
BestFrenchBargains,https://www.etsy.com/listing/897102405/a-superb-vintage-french-silver-plated?click_key=ff8c09c7889286b7a926374d551c0e5e7fa1836c%3A897102405&click_sum=828d9182&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-1&frs=1
BeautifulOldEngland,https://www.etsy.com/listing/1264262375/antique-silver-and-brass-cake-knife?click_key=121f60d3ff4e03c1ae43dd466c0ee87a7cdce8bb%3A1264262375&click_sum=97cd5d8f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-2&sts=1
CooperCollectibles,https://www.etsy.com/listing/1328086860/vintage-metal-serving-utensils-set-of?click_key=d2df8862818170cb34e88dcd0859beb81af054e8%3A1328086860&click_sum=1b7abeac&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-3&pro=1&sts=1
60degreesNorth,https://www.etsy.com/listing/702961102/vintage-silverplate-pie-or-cake-server?click_key=2012e3c2803d9eec3043b83d38d3d9e0ec0e4a99%3A702961102&click_sum=7825d9a6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-4
NAMUOS,https://www.etsy.com/listing/699699329/cake-slicer-and-server-pine-needle?click_key=028a154e580ac52c45697eb56d8b9bdc863d1868%3A699699329&click_sum=516dcd44&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-5&etp=1&sts=1
chicvintageclassics,https://www.etsy.com/listing/1342006611/pie-or-cake-server-ceramic-spatula?click_key=dbbc1c74e6ec755a07b77b7fe837e00d205b934d%3A1342006611&click_sum=684daf1a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-6&sts=1
YolisBridal,https://www.etsy.com/listing/507134329/swarovski-crystal-wedding-toast-set?click_key=a65f90bef9030dbe662638049916399649eff579%3A507134329&click_sum=79cf37f9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-7&pro=1
ReVintageLannie,https://www.etsy.com/listing/1263853609/heart-lacey-cut-milk-glass-cake-plate?click_key=1bcb3176c5b33423c099031daf2af138a6f4e11d%3A1263853609&click_sum=96a79e00&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-8&pro=1
InesesWeddingGallery,https://www.etsy.com/listing/259878523/wedding-cake-server-and-knife-set-rustic?click_key=8ee7a43513662507f00a0c5f63376a134c9dd960%3A259878523&click_sum=f2f157a7&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-9
CharmWoodShop,https://www.etsy.com/listing/508814260/wedding-knives-wedding-cake-server?click_key=67ff5ae83e09b839e05acb19e6c7a1901594949a%3A508814260&click_sum=7d85e0f1&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-10&pro=1
WeddingArtGallery,https://www.etsy.com/listing/536553076/wedding-champagne-flutes-and-cake?click_key=e1f95c75240105ec0e13565d2661b377e921cfa3%3A536553076&click_sum=6e10e1ba&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-11&pro=1&sts=1
BridalQueen,https://www.etsy.com/listing/451107714/rose-gold-wedding-cake-cutting-set-cake?click_key=774c7a1faf7496e0691cc97faaab9b2ccf16ae73%3A451107714&click_sum=0387aaef&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-12
IvoryPearlsCraft,https://www.etsy.com/listing/1151097245/wedding-cake-cutting-set-personalized?click_key=4e1956874bbad9949f7e2397f77dfe95e56e0252%3A1151097245&click_sum=1e5871ad&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-5&pro=1
WeddingChicArt,https://www.etsy.com/listing/768809502/wedding-flutes-pink-wedding-custom?click_key=ab320c3f3ad80716fb9e9a233ff594322f98bbbf%3A768809502&click_sum=ab81c63e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-6
Swiddlesinc,https://www.etsy.com/listing/287983719/rainbow-beaded-wedding-cake-knife-server?click_key=a958c147d700d62faf2e00cfccbb66aec7c1bf65%3A287983719&click_sum=09bbeb18&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-7&sts=1
liamoria,https://www.etsy.com/listing/1180034541/cake-server-cake-server-cake-scoop?click_key=ef282f78dd147d2edb2c0f448fc274fbe2653587%3A1180034541&click_sum=e14835fd&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-8&sts=1
WAGbohemianChic,https://www.etsy.com/listing/536068519/personalized-wedding-glasses-and-cake?click_key=02d73a85ee4f16ee9ce81a98888ed47b4dbed450%3A536068519&click_sum=6835886e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-13&pro=1&sts=1
FLORINAART,https://www.etsy.com/listing/508559482/steampunk-wedding-set-personalized?click_key=a0d3384de3ac509b50247c13cca4ee6837d0377d%3A508559482&click_sum=88b6c218&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-14
HandmadeDecoupage,https://www.etsy.com/listing/563522193/winter-wedding-champagne-glasses-white?click_key=488a34c20b03943321383f9ce7303983e0748518%3A563522193&click_sum=e934c0e0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-15
ArtWeddingGroup,https://www.etsy.com/listing/547269859/rose-gold-wedding-cake-cutters?click_key=6884e60401e333b2702a45995f2a6c6fc7b78499%3A547269859&click_sum=b318db92&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-16
PaintedGlassBiliana,https://www.etsy.com/listing/285910617/wedding-cake-server-and-knife-peacock?click_key=f146a8c673d933c5bdd3cd0e5286f1aae25421db%3A285910617&click_sum=d57e6e7f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-17&frs=1
VIZZARA,https://www.etsy.com/listing/279490132/cake-servers-white-and-navy-blue?click_key=6bbb34ed8e460e32312268bae4a1ff2ac8081dc4%3A279490132&click_sum=fc2decec&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-18
ApolloVikings,https://www.etsy.com/listing/1270214145/pizza-axe-viking-with-box-leather-sheath?click_key=209ccfdcfd92591a56d07c4f5db2edbfed1ed527%3A1270214145&click_sum=a43562f8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-19&pro=1
ArtsLux,https://www.etsy.com/listing/238628746/frosty-wedding-cake-serving-set-silver?click_key=8180a0b109d7a2e4366daca26602a973465c6571%3A238628746&click_sum=ad6ebeee&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-20&sts=1
Wedding3000A,https://www.etsy.com/listing/568640073/gold-blue-wedding-cake-server-set-blue?click_key=7ec90c7e94f0c47aeaf24360cf5dbf2a9381a190%3A568640073&click_sum=f2d75e76&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-21
WeddingChicArt,https://www.etsy.com/listing/565370857/wedding-knife-server-set-engraved?click_key=02f3177ac34ce2e2ead04b290aaec91e32dbd740%3A565370857&click_sum=d090d424&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-22
Adeleart,https://www.etsy.com/listing/258993855/green-rginestones-pesronalized-champagne?click_key=28c167b2c7adc9d13db8ade97682fe9c4702d87e%3A258993855&click_sum=bd8088a4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-23
RusticWeddingArtShop,https://www.etsy.com/listing/525449442/cake-servers-rustic-weddings?click_key=7f816da05dcd0dc07d435950f6ee102e5499292d%3A525449442&click_sum=ab0d97a8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-24
AreoDesigns,https://www.etsy.com/listing/1236755248/engraved-cake-serving?click_key=4ae06b97725cdc104e96886e8ffbb237fbe4eb12%3A1236755248&click_sum=d2f579b9&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-9&sts=1
VIZZARA,https://www.etsy.com/listing/632275808/cake-servers-purple-and-orange-weddings?click_key=29e5d190c18194d479013dc0daaa440f0619affb%3A632275808&click_sum=a85e28ae&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-10
DevarimYafimo,https://www.etsy.com/listing/690131451/pie-server-kitchen-utensils-cake-cutter?click_key=88ac775ac1d14263db9909d70e768f61d2cb2d5d%3A690131451&click_sum=68e298f2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-11&sts=1
FussyCutsPapery,https://www.etsy.com/listing/1129663671/customized-knife-and-cake-slicer-set?click_key=6bea092ed801f9291e102ac36bcd7e95245bb1b7%3A1129663671&click_sum=4e66c7f4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-12
WeddingHandMadeShop,https://www.etsy.com/listing/538613006/tall-cake-stand-8-up-to-24-inches-wood?click_key=67496bc896327efc60a486d9036ec18c8cf0d9cf%3A538613006&click_sum=294113b2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-25
Swiddlesinc,https://www.etsy.com/listing/287983719/rainbow-beaded-wedding-cake-knife-server?click_key=0dadc200c23f0d6f594aa8887b8ec6258820d058%3A287983719&click_sum=38e9da29&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-26&sts=1
pastinshs,https://www.etsy.com/listing/95949211/hand-painted-wedding-cake-knives-rabbit?click_key=1adce399762688b348c797e5152ebd475ea174f0%3A95949211&click_sum=0baa7900&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-27
ChiKaPea,https://www.etsy.com/listing/255111283/toasting-glasses-and-cake-cutting-set?click_key=f7f7580310904ee516456413fa8d3733d1e27ad1%3A255111283&click_sum=c62efb77&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-28
IvoryPearlsCraft,https://www.etsy.com/listing/1105018911/gold-wedding-cake-server-set-gold?click_key=048f1d3c6c0cdbf6b7b1e29ceb1aa75a4f3ce395%3A1105018911&click_sum=510a7934&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-29&pro=1
WoodenWeddingDecor,https://www.etsy.com/listing/535057543/cake-topper-for-wedding-custom-mr-mrs?click_key=f778ed22e14f039b0f262330b4ead307869c268b%3A535057543&click_sum=7f41c282&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-30&pro=1
MomentsbyMelodie,https://www.etsy.com/listing/1009512154/personalized-simple-elegance-smooth?click_key=a1ea37fe890a27c9be58c991e8f5b2172a906a57%3A1009512154&click_sum=267fbcf5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-31&sts=1
AreoDesigns,https://www.etsy.com/listing/1264498053/engraved-cake-server-wooden-spatula-pie?click_key=3c61ee1bb999da4864f1b07d6a37a605d34314e8%3A1264498053&click_sum=db19620b&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-32&sts=1
60degreesNorth,https://www.etsy.com/listing/716821811/antique-silverplate-pie-or-cake-server?click_key=c5bba3c30851c0bd9ef733ed1490069b6875b638%3A716821811&click_sum=223fd82a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-33
GibbDaan,https://www.etsy.com/listing/1342503805/personalized-wedding-cake-knife-and?click_key=4300ebacf0ee0b868fa1e3e39b216bc0705bccc9%3A1342503805&click_sum=d6194200&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-34&sts=1
HeavSoShop20,https://www.etsy.com/listing/1228486031/white-wedding-glasses-and-cake-set?click_key=2d0c590541cb74aecc9ffbd0d41e79631e9c2c54%3A1228486031&click_sum=a3b64524&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-35&pro=1&sts=1
onlinepartycenter,https://www.etsy.com/listing/541230029/beauty-and-the-beast-cake-knife-and?click_key=f31820a7a2dd999810b5b835238b284ec7fe7fd7%3A541230029&click_sum=c1ebf999&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-36&sca=1&sts=1
OpenHausGifts,https://www.etsy.com/listing/1091753300/personalized-cake-knives-lenox-cake?click_key=020b786441385708960a5e8669aa625adc2d956f%3A1091753300&click_sum=75523bdb&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-13
ClassyweddingGifts,https://www.etsy.com/listing/1226649469/personalised-wedding-cake-cutter-set?click_key=6755637d96fec034515acd5a9902771ac01d4b71%3A1226649469&click_sum=8b10353a&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=listing_in_grid-2-14&frs=1
